                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4873,                 1.7538,                 1.4975,                0.44177,                0.17745,                 0.1328,                0.05726,                  1.856,                 2.4847,                 1.9517,               0.067005,             0.00033328,             0.00033328
                      2,                 1.3823,                 1.4157,                  1.426,                0.41249,                0.23302,                0.19601,                0.09344,                 1.6748,                 1.7268,                  1.759,               0.033999,             0.00066001,             0.00066001
                      3,                 1.3277,                 1.2892,                  1.387,                0.39598,                0.24911,                0.21361,                0.10452,                 1.6067,                 1.6334,                 1.7087,             0.00098545,             0.00098015,             0.00098015
                      4,                 1.2761,                 1.2014,                 1.3535,                0.36258,                 0.2806,                0.25725,                0.12846,                   1.58,                 1.5172,                  1.686,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2492,                 1.1437,                 1.3336,                0.35161,                0.29682,                0.28345,                0.14652,                  1.546,                 1.4727,                 1.6462,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2188,                 1.0977,                 1.3154,                 0.3587,                0.30952,                0.30162,                 0.1586,                 1.5225,                 1.4094,                 1.6282,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1993,                 1.0739,                 1.3067,                0.35259,                0.31532,                0.30954,                0.16299,                 1.5089,                 1.3698,                 1.6196,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1874,                 1.0483,                 1.2949,                0.37699,                0.31859,                 0.3201,                 0.1725,                 1.4931,                 1.3256,                 1.6007,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1725,                 1.0172,                 1.2863,                0.37474,                0.33056,                0.33254,                0.17987,                 1.4834,                  1.304,                 1.5955,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1601,                 1.0028,                 1.2754,                0.36987,                0.34297,                0.33925,                0.18544,                 1.4679,                 1.2775,                 1.5794,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1436,                0.97446,                 1.2639,                0.36853,                 0.3442,                0.34277,                0.18885,                 1.4655,                 1.2561,                 1.5743,               0.000901,               0.000901,               0.000901
